City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hofn,IS,64.2539,-15.2082,48.22,93,90,18.41,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,62.28,88,7,14.2,clear sky
Saint-Joseph,RE,-21.3667,55.6167,70.18,75,23,2.26,few clouds
Fukue,JP,32.6881,128.8419,65.12,72,86,18.9,overcast clouds
Mitsamiouli,KM,-11.3847,43.2844,77.86,66,6,4.92,clear sky
Butaritari,KI,3.0707,172.7902,81.64,81,95,12.88,light rain
Aklavik,CA,68.2191,-135.0107,29.12,86,90,10.36,overcast clouds
Deputatskiy,RU,69.3,139.9,40.87,66,12,6.73,few clouds
Hobart,AU,-42.8794,147.3294,48.06,73,90,1.01,overcast clouds
Dikson,RU,73.5069,80.5464,23.29,93,100,3.62,overcast clouds
Arman,RU,59.7,150.1667,38.86,96,100,4.74,light rain
Albany,US,42.6001,-73.9662,58.89,52,100,5.06,overcast clouds
Tautira,PF,-17.7333,-149.15,73.42,72,48,2.17,scattered clouds
Puerto+Penasco,MX,31.3167,-113.5333,80.58,65,1,5.01,clear sky
Bassano,CA,50.7834,-112.4685,60.19,31,66,12.46,broken clouds
Carnarvon,AU,-24.8667,113.6333,69.87,100,90,9.22,light rain
Pisco,PE,-13.7,-76.2167,66.02,94,90,5.75,overcast clouds
Bethel,US,41.3712,-73.414,67.19,49,75,8.05,broken clouds
Sao+Raimundo+Nonato,BR,-9.0153,-42.6994,94.06,18,16,9.24,few clouds
Saint-Pierre,RE,-21.3393,55.4781,71.28,81,20,6.91,few clouds
Atuona,PF,-9.8,-139.0333,79.77,74,17,15.46,few clouds
Tasiilaq,GL,65.6145,-37.6368,41.16,96,100,12.5,moderate rain
Mayo,US,38.8876,-76.5119,77.11,68,20,8.01,few clouds
Moses+Lake,US,47.1301,-119.2781,61.61,39,1,13.8,clear sky
Saint-Philippe,RE,-21.3585,55.7679,71.19,74,45,3.58,scattered clouds
Tomohon,ID,1.3346,124.8392,68.94,95,55,2.77,broken clouds
Soc+Trang,VN,9.6033,105.98,78.76,85,18,5.17,few clouds
Fortuna,US,40.5982,-124.1573,60.66,95,90,4.61,overcast clouds
Ilulissat,GL,69.2167,-51.1,48.22,40,20,5.75,few clouds
Segezha,RU,63.7415,34.3222,45.19,79,93,5.95,overcast clouds
Carnduff,CA,49.1667,-101.8009,57.38,53,60,20.98,broken clouds
Caravelas,BR,-17.7125,-39.2481,82.04,59,13,8.57,few clouds
Uwajima,JP,33.2238,132.56,67.95,87,100,2.37,overcast clouds
Laguna,US,38.421,-121.4238,79.61,63,1,1.99,clear sky
Hamilton,US,39.1834,-84.5333,71.04,93,90,10.33,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.67,81,82,6.46,broken clouds
Ribeira+Grande,PT,38.5167,-28.7,66.6,63,40,11.5,scattered clouds
Jutai,BR,-5.1833,-68.9,92.32,46,80,2.06,broken clouds
Vaini,TO,-21.2,-175.2,64.56,100,75,2.3,broken clouds
Kalabo,ZM,-14.97,22.6814,65.23,29,0,3.38,clear sky
Orotukan,RU,62.2667,151.7,35.58,91,100,6.2,overcast clouds
La+Ronge,CA,55.1001,-105.2842,53.85,58,90,11.5,overcast clouds
Clyde+River,CA,70.4692,-68.5914,30.43,86,20,2.3,few clouds
Cherskiy,RU,68.75,161.3,44.38,55,80,13.27,broken clouds
Souillac,MU,-20.5167,57.5167,73.78,88,20,6.69,few clouds
Asau,RO,46.4333,26.4,58.28,100,100,4.16,light rain
Makakilo+City,US,21.3469,-158.0858,73.72,77,1,4.61,clear sky
Rio+Gallegos,AR,-51.6226,-69.2181,37.45,60,40,25.32,scattered clouds
Linxia,CN,35.6003,103.2064,57.45,64,100,6.82,overcast clouds
Nikolskoye,RU,59.7035,30.7861,57.09,69,64,8.03,broken clouds
Napoleon,US,41.3923,-84.1252,52.57,93,100,20.65,light rain
Brownsville,US,25.9018,-97.4975,90.91,64,75,5.01,broken clouds
Bonavista,CA,48.6499,-53.1147,53.6,57,47,7.29,scattered clouds
Teknaf,BD,20.8624,92.3058,81.77,85,8,2.13,clear sky
Flinders,AU,-34.5833,150.8552,53.19,59,82,7.0,broken clouds
Ailigandi,PA,9.2333,-78.0167,79.0,86,100,4.5,overcast clouds
Anchorage,US,61.2181,-149.9003,49.21,76,90,4.0,light rain
Kerema,PG,-7.9631,145.7785,77.79,83,93,14.94,overcast clouds
Mapiri,BO,-15.25,-68.1667,82.85,53,89,1.74,overcast clouds
Saravan,AM,39.7196,45.6483,70.45,57,74,6.55,broken clouds
Phuthaditjhaba,ZA,-28.5242,28.8158,51.75,39,3,5.23,clear sky
Marienburg,PL,54.0359,19.0266,55.89,81,87,6.35,overcast clouds
Eyl,SO,7.9803,49.8164,81.23,76,55,19.93,broken clouds
Jiexiu,CN,37.0244,111.9125,68.38,25,83,8.57,broken clouds
Kattivakkam,IN,13.2167,80.3167,87.08,86,99,16.69,overcast clouds
Nova+Vicosa,BR,-17.8919,-39.3719,81.0,65,17,8.97,few clouds
Gushikawa,JP,26.3544,127.8686,77.0,90,75,11.12,broken clouds
Kieta,PG,-6.2167,155.6333,76.17,93,100,0.51,moderate rain
Neuquen,AR,-38.9516,-68.0591,62.49,36,0,16.11,clear sky
Chulym,RU,55.0997,80.9572,48.96,64,62,6.11,broken clouds
Hailar,CN,49.2,119.7,44.65,63,28,3.94,scattered clouds
New+Norfolk,AU,-42.7826,147.0587,47.7,66,19,1.01,few clouds
Provideniya,RU,64.3833,-173.3,40.3,55,4,10.89,clear sky
Lavrentiya,RU,65.5833,-171.0,28.44,88,8,10.98,clear sky
Capanema,BR,-1.1958,-47.1808,88.95,56,36,1.21,scattered clouds
Salt,JO,32.0392,35.7272,81.16,38,0,7.05,clear sky
San+Vicente,AR,-26.6167,-54.1333,78.96,53,51,8.95,broken clouds
Bolu,TR,40.6667,31.5833,60.15,88,84,2.89,moderate rain
Bakchar,RU,57.0186,82.0711,41.38,54,98,4.74,overcast clouds
Bucerias,MX,20.75,-105.3333,88.25,44,56,5.06,broken clouds
Puerto+Ayora,EC,-0.7393,-90.3518,76.96,88,85,7.0,overcast clouds
Ust-Kuyga,RU,70.0167,135.6,41.38,82,57,11.12,broken clouds
Muravlenko,RU,63.7898,74.523,40.51,49,59,4.7,broken clouds
Mbeya,TZ,-8.9,33.45,56.79,89,36,4.83,scattered clouds
Praia+Da+Vitoria,PT,38.7333,-27.0667,66.76,59,20,5.46,few clouds
Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,9.22,broken clouds
Talnakh,RU,69.4865,88.3972,27.93,91,95,6.76,overcast clouds
Hermanus,ZA,-34.4187,19.2345,62.8,87,24,16.58,few clouds
Arcos,BR,-20.2819,-45.5394,86.0,36,40,9.04,scattered clouds
Saskylakh,RU,71.9167,114.0833,33.04,88,29,6.31,scattered clouds
Skibbereen,IE,51.55,-9.2667,60.6,73,21,5.61,few clouds
Filadelfia,US,39.9523,-75.1638,70.56,58,75,7.0,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,81.32,32,1,6.91,clear sky
Port+Hardy,CA,50.6996,-127.4199,50.18,81,90,3.44,overcast clouds
Provost,CA,52.3501,-110.2683,66.65,39,9,13.0,clear sky
Aykhal,RU,66.0,111.5,47.41,72,99,14.45,overcast clouds
Sakiai,LT,54.9547,23.0358,57.45,85,94,2.33,overcast clouds
Kropotkin,RU,45.4375,40.5756,69.1,77,6,6.24,clear sky
Noumea,NC,-22.2763,166.4572,69.01,99,98,8.19,overcast clouds
Tamandare,BR,-8.7597,-35.1047,81.72,65,52,11.99,broken clouds
Los+Ranchos+De+Albuquerque,US,35.162,-106.6428,81.32,31,20,1.99,few clouds
Zyryanka,RU,65.75,150.85,43.88,58,37,9.35,scattered clouds
Sungairaya,ID,0.7,108.9,78.55,88,100,2.01,overcast clouds
Te+Anau,NZ,-45.4167,167.7167,39.2,98,100,4.5,overcast clouds
Port+Alfred,ZA,-33.5906,26.891,64.08,74,0,18.77,clear sky
Dongsheng,CN,39.8161,109.9776,68.27,18,7,23.2,clear sky
Hasaki,JP,35.7333,140.8333,68.29,84,100,22.77,overcast clouds
Mahibadhoo,MV,3.7833,72.9667,83.53,74,95,20.13,overcast clouds
San+Cristobal,VE,7.7669,-72.225,78.98,52,24,7.72,few clouds
La+Paz,BO,-16.5,-68.15,60.78,33,20,18.41,few clouds
Kungurtug,RU,50.5994,97.5228,39.0,92,36,2.1,scattered clouds
Kavieng,PG,-2.5744,150.7967,81.23,80,97,7.18,overcast clouds
Saint-Louis,SN,16.3333,-15.0,107.24,10,5,12.08,clear sky
Pitimbu,BR,-7.4706,-34.8086,81.19,80,87,17.81,overcast clouds
Krasnoselkup,RU,65.7,82.4667,31.12,75,97,21.27,overcast clouds
La+Primavera,CO,5.4906,-70.4092,82.74,72,58,6.04,broken clouds
Sembe,CG,1.6481,14.5806,77.52,83,100,2.28,overcast clouds
Tubuala,PA,9.5167,-79.0333,89.33,81,100,5.5,overcast clouds
Kodiak,US,57.79,-152.4072,47.71,87,90,5.75,overcast clouds
Victoria,HK,22.2855,114.1577,87.33,82,63,1.01,broken clouds
Lagoa,PT,39.05,-27.9833,61.41,71,93,10.74,overcast clouds
Sechura,PE,-5.5569,-80.8222,76.21,68,92,11.07,overcast clouds
Bengkulu,ID,-3.8004,102.2655,75.4,92,100,3.87,moderate rain
Ridgecrest,US,35.6225,-117.6709,83.64,17,1,1.01,clear sky
Ntungamo,UG,-0.8833,29.65,66.88,87,66,3.31,light rain
Salalah,OM,17.0151,54.0924,86.09,84,20,5.75,few clouds
Barao+De+Melgaco,BR,-16.1944,-55.9675,95.52,24,100,11.41,overcast clouds
Galle,LK,6.0367,80.217,81.19,85,100,13.96,overcast clouds
Bereznik,RU,62.8551,42.7072,47.52,94,86,8.28,overcast clouds
Hami,CN,42.8,93.45,80.67,22,15,6.29,few clouds
Esperance,AU,-33.8667,121.9,60.64,47,99,16.8,moderate rain
Kasangulu,CD,-4.5911,15.1708,90.54,57,15,2.75,few clouds
Port+Augusta,AU,-32.5,137.7667,53.74,66,100,4.74,overcast clouds
Vilhena,BR,-12.7406,-60.1458,86.22,48,0,13.8,clear sky
Kousseri,CM,12.0769,15.0306,100.36,25,40,16.11,scattered clouds
Port+Blair,IN,11.6667,92.75,82.08,83,100,5.97,overcast clouds
San+Patricio,US,28.017,-97.5169,88.52,68,81,10.58,broken clouds
Ostrovnoy,RU,68.0531,39.5131,37.18,71,85,18.39,overcast clouds
Mercedes,AR,-34.6515,-59.4307,69.85,42,100,12.3,overcast clouds
Mackay,AU,-21.15,149.2,59.04,76,1,4.61,clear sky
Byron+Bay,AU,-28.65,153.6167,57.15,72,45,16.64,scattered clouds
Hilo,US,19.7297,-155.09,74.28,84,90,6.91,overcast clouds
Lethem,GY,3.3803,-59.7968,83.23,71,97,2.89,overcast clouds
Nanortalik,GL,60.1432,-45.2371,41.0,76,23,10.27,few clouds
Kruisfontein,ZA,-34.0033,24.7314,63.88,73,0,13.11,clear sky
Scarborough,GB,54.2797,-0.4044,64.22,83,92,1.99,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,90,46.04,overcast clouds
Shanghai,CN,31.2222,121.4581,72.93,52,40,4.85,light rain
Mogadishu,SO,2.0371,45.3438,79.11,80,91,10.74,overcast clouds
Sur,OM,22.5667,59.5289,88.29,43,0,9.84,clear sky
Alta+Floresta,BR,-9.8756,-56.0861,86.61,46,98,2.28,overcast clouds
Arraial+Do+Cabo,BR,-22.9661,-42.0278,85.96,65,0,14.97,clear sky
Olavarria,AR,-36.8927,-60.3225,59.77,51,25,15.01,scattered clouds
Jamestown,US,42.097,-79.2353,50.29,96,90,5.99,moderate rain
North+Bend,US,43.4065,-124.2243,61.16,74,1,10.36,clear sky
Mahanje,TZ,-9.9333,35.3333,60.3,75,7,2.53,clear sky
Barra+Do+Garcas,BR,-15.89,-52.2567,93.56,31,80,10.36,broken clouds
Sunnyside,US,46.3237,-120.0087,64.0,45,1,4.61,clear sky
London,GB,51.5085,-0.1257,67.3,70,100,4.65,light rain
Luderitz,NA,-26.6481,15.1594,63.23,61,67,15.52,broken clouds
Saint+George,US,37.1041,-113.5841,90.07,15,1,1.99,clear sky
Sao+Felix+Do+Xingu,BR,-6.6447,-51.995,91.26,36,37,3.62,scattered clouds
Olafsvik,IS,64.8945,-23.7142,51.39,73,100,27.72,moderate rain
College,US,64.8569,-147.8028,43.0,54,20,18.41,few clouds
Bambous+Virieux,MU,-20.3428,57.7575,73.65,88,20,8.75,few clouds
Barberton,ZA,-25.7884,31.0532,71.65,24,2,6.08,clear sky
Jammalamadugu,IN,14.8333,78.4,94.73,33,11,14.03,few clouds
Jaguaquara,BR,-13.5306,-39.9708,81.32,39,6,7.99,clear sky
Jizan,SA,17.3333,42.6667,92.34,38,29,5.14,scattered clouds
Osmaniye,TR,37.0742,36.2478,72.52,86,55,5.84,broken clouds
Katsuura,JP,35.1333,140.3,70.2,86,100,21.79,moderate rain
Ulladulla,AU,-35.35,150.4667,51.1,59,88,14.03,overcast clouds
Chokurdakh,RU,70.6333,147.9167,44.37,61,30,12.12,scattered clouds
Nouadhibou,MR,20.931,-17.0347,73.38,64,74,20.71,broken clouds
Paamiut,GL,61.994,-49.6678,41.88,72,89,2.59,overcast clouds
Nogliki,RU,51.8333,143.1667,38.91,88,96,3.24,overcast clouds
Champerico,GT,14.3,-91.9167,90.77,63,81,4.38,broken clouds
Bilibino,RU,68.0546,166.4372,35.47,75,36,2.08,scattered clouds
Maragogi,BR,-9.0122,-35.2225,80.94,66,53,11.9,broken clouds
Kahului,US,20.8947,-156.47,76.84,84,20,12.66,few clouds
Hithadhoo,MV,-0.6,73.0833,82.94,73,96,16.44,overcast clouds
Tanout,NE,14.9709,8.8879,98.1,6,100,14.43,overcast clouds
Jalu,LY,29.0331,21.5482,97.52,13,0,10.02,clear sky
Gobabis,NA,-22.45,18.9667,63.82,23,16,8.43,few clouds
Labuhan,ID,-6.8844,112.2051,79.21,86,96,8.3,overcast clouds
Upernavik,GL,72.7868,-56.1549,36.12,86,6,3.83,clear sky
Salta,AR,-24.7859,-65.4117,84.79,20,0,8.99,clear sky
Khandbari,NP,27.3747,87.2039,69.51,91,100,2.57,overcast clouds
Maniitsoq,GL,65.4167,-52.9,39.99,82,15,14.65,few clouds
Nanchang,CN,28.6833,115.8833,66.49,81,100,4.0,overcast clouds
Kabalo,CD,-6.05,26.9167,78.31,47,81,3.51,broken clouds
Ishurdi,BD,24.1333,89.0833,82.81,81,69,3.4,broken clouds
Camopi,GF,3.1655,-52.3158,74.48,94,100,1.52,overcast clouds
Saint-Georges,GD,12.0564,-61.7485,82.44,65,26,14.18,scattered clouds
San+Lawrenz,MT,36.0553,14.204,72.86,61,43,5.01,scattered clouds
Manavalakurichi,IN,8.1333,77.3,80.69,84,100,16.51,overcast clouds
Havre,FR,49.5833,0.3333,68.58,55,0,8.99,clear sky
Ajdabiya,LY,30.7554,20.2263,86.32,24,10,9.93,clear sky
Zelenoborsk,RU,61.4669,64.0333,49.66,70,75,3.62,broken clouds
South+Sioux+City,US,42.4739,-96.4136,49.28,71,90,4.0,overcast clouds
Kalianget,ID,-7.05,113.9333,82.2,77,86,11.43,overcast clouds
Barcelos,PT,41.5388,-8.6151,80.28,61,17,9.73,few clouds
Presidencia+Roque+Saenz+Pena,AR,-26.7852,-60.4388,83.91,43,80,8.97,broken clouds
Isangel,VU,-19.55,169.2667,70.09,79,56,5.17,broken clouds
Beauchamps,FR,50.012,1.5176,69.62,66,92,5.28,overcast clouds
Sawakin,SD,19.1059,37.3321,88.05,67,21,2.04,few clouds
Newton,US,42.337,-71.2092,64.42,52,1,1.01,clear sky
El+Carmen,CO,8.5106,-73.4478,78.76,75,98,1.32,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,49.82,86,100,3.13,light rain
Searcy,US,35.2506,-91.7363,76.14,75,75,4.0,broken clouds
Yambio,SS,4.5721,28.3955,76.12,75,62,1.68,broken clouds
Oranjemund,NA,-28.55,16.4333,59.7,78,8,9.06,clear sky
Waipawa,NZ,-41.4122,175.5153,50.94,86,73,3.06,broken clouds
Saryozek,KZ,44.3583,77.9753,64.45,64,100,4.59,overcast clouds
Alice+Springs,AU,-23.7,133.8833,44.15,65,90,7.63,overcast clouds
Nueve+De+Julio,AR,-35.4444,-60.8831,67.71,44,71,16.33,broken clouds
Nago,JP,26.5881,127.9761,77.85,90,100,8.72,overcast clouds
Muros,ES,42.7762,-9.0603,79.68,63,28,14.67,scattered clouds
Grand+Gaube,MU,-20.0064,57.6608,73.8,78,14,3.0,few clouds
Uravakonda,IN,14.95,77.2667,84.88,54,10,19.3,clear sky
Vila+Velha,BR,-20.3297,-40.2925,85.96,62,20,10.0,few clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,43.03,69,3,4.29,clear sky
Yarada,IN,17.65,83.2667,88.12,84,40,9.91,scattered clouds
Faanui,PF,-16.4833,-151.75,79.95,68,62,4.59,broken clouds
Pokhara,NP,28.2333,83.9833,68.58,93,100,1.61,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,38.34,93,83,8.79,broken clouds
San+Juan,AR,-31.5375,-68.5364,71.73,25,28,16.28,scattered clouds
Tena,EC,-0.9833,-77.8167,84.96,54,25,4.7,scattered clouds
Mahebourg,MU,-20.4081,57.7,73.69,88,20,1.14,few clouds
Itaueira,BR,-7.6033,-43.0256,94.15,26,49,6.26,scattered clouds
Necochea,AR,-38.5473,-58.7368,60.04,51,2,22.28,clear sky
Angoche,MZ,-16.2325,39.9086,72.79,71,19,5.64,few clouds
Altay,CN,47.8667,88.1167,61.11,40,0,5.57,clear sky
Dzerzhinsk,RU,56.2389,43.4631,66.02,88,40,3.09,scattered clouds
Wilmington,US,34.2257,-77.9447,94.98,44,1,13.8,clear sky
Touros,BR,-5.1989,-35.4608,86.9,66,27,16.37,scattered clouds
Vershino-Darasunskiy,RU,52.35,115.5167,40.42,67,30,3.29,scattered clouds
Auki,SB,-8.7676,160.7034,75.94,88,99,3.04,overcast clouds
Teocaltiche,MX,21.4333,-102.5833,74.71,21,7,6.15,clear sky
Aras,ES,42.5617,-2.356,79.21,36,20,3.15,few clouds
Tateyama,JP,34.9833,139.8667,70.99,86,100,24.65,heavy intensity rain
Palmer,US,42.1584,-72.3287,63.68,43,90,1.01,overcast clouds
Khasan,RU,42.4308,130.6434,50.13,96,100,5.41,overcast clouds
Plettenberg+Bay,ZA,-34.0527,23.3716,61.16,76,1,10.78,light rain
Ushtobe,KZ,45.2514,77.9838,68.76,62,92,5.32,light rain
Durazno,UY,-33.4131,-56.5006,64.35,72,0,6.91,clear sky
Teapa,MX,17.55,-92.95,90.63,56,64,3.89,broken clouds
Jinxiang,CN,27.4327,120.6062,72.88,86,100,3.96,light rain
Loei,TH,17.4167,101.5,67.78,92,92,2.51,overcast clouds
Ginir,ET,7.1333,40.7,56.35,95,91,4.43,overcast clouds
Niono,ML,14.2526,-5.993,105.78,15,100,4.59,overcast clouds
Zorgo,BF,12.2489,-0.6158,95.99,29,80,10.29,broken clouds
Hurghada,EG,27.2574,33.8129,95.04,17,0,13.8,clear sky
Port-Cartier,CA,50.0334,-66.8654,43.93,34,97,19.48,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,49,75,24.16,broken clouds
Sitka,US,57.0531,-135.33,46.29,87,90,5.75,light rain
Tutoia,BR,-2.7619,-42.2744,89.58,57,21,6.15,few clouds
Port+Macquarie,AU,-31.4333,152.9167,53.56,67,100,20.76,overcast clouds
Uchiza,PE,-8.4592,-76.4633,85.32,55,12,3.27,few clouds
Tura,IN,25.5198,90.2201,73.83,92,25,1.54,scattered clouds
Amga,RU,60.8953,131.9608,45.0,82,96,2.15,overcast clouds
Cabo+San+Lucas,MX,22.8909,-109.9124,95.81,54,20,5.66,few clouds
Sola,VU,-13.8833,167.55,77.27,65,98,11.18,overcast clouds
Ilebo,CD,-4.3167,20.5833,79.27,52,91,1.32,overcast clouds
Manta,EC,-0.95,-80.7333,78.58,73,75,6.91,broken clouds
Elizabeth+City,US,36.2946,-76.2511,93.02,52,1,1.99,clear sky
Komsomolets,KZ,53.7453,62.0708,65.08,36,0,7.29,clear sky
Yarega,RU,63.4354,53.5765,51.35,61,89,9.82,overcast clouds
Gwadar,PK,25.1216,62.3254,88.0,66,0,15.21,clear sky
Puerto+Ayacucho,VE,5.6639,-67.6236,85.6,68,86,3.89,overcast clouds
State+College,US,40.7934,-77.86,64.4,65,40,1.99,scattered clouds
Derzhavinsk,KZ,51.1,66.3167,64.67,38,4,10.36,clear sky
Mount+Gambier,AU,-37.8333,140.7667,39.11,93,40,0.0,scattered clouds
Poya,NC,-21.35,165.15,65.59,84,27,3.78,scattered clouds
Malartic,CA,48.1335,-78.1328,48.02,42,1,6.6,clear sky
Sao+Filipe,CV,14.8961,-24.4956,73.11,78,6,11.65,clear sky
Beloha,MG,-25.1667,45.05,65.98,80,0,5.61,clear sky
Salamiyah,SY,35.0113,37.0532,74.07,40,6,10.65,clear sky
Banyo,CM,6.75,11.8167,73.74,76,28,3.76,light rain
Mahanoro,MG,-19.9,48.8,69.91,84,0,5.37,clear sky
Vardo,NO,70.3705,31.1107,35.8,86,75,26.46,light rain
Banda+Aceh,ID,5.5577,95.3222,79.27,84,99,13.42,overcast clouds
Ponta+Do+Sol,PT,32.6667,-17.1,75.0,72,49,2.68,scattered clouds
Norman+Wells,CA,65.282,-126.8329,35.64,93,90,17.27,light rain
Kovernino,RU,57.1253,43.8142,60.04,96,99,4.56,light rain
Margate,GB,51.3813,1.3862,58.87,66,100,3.0,overcast clouds
Irara,BR,-12.05,-38.7667,86.09,36,38,9.44,scattered clouds
Malinyi,TZ,-8.9333,36.1333,68.54,78,39,2.98,scattered clouds
Muscat,OM,23.6139,58.5922,88.99,58,0,5.48,clear sky
Sobolevo,RU,54.4299,31.8996,60.98,82,99,7.0,light rain
North+Ogden,US,41.3072,-111.9602,76.77,32,1,4.0,clear sky
Lazarev,RU,52.225,141.5131,37.13,88,100,9.19,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.61,96,100,2.26,overcast clouds
Snyder,US,32.7179,-100.9176,70.09,100,90,13.8,overcast clouds
Adamas,GR,36.7333,24.4333,72.82,69,34,5.39,scattered clouds
Vila+Franca+Do+Campo,PT,37.7167,-25.4333,66.61,59,98,3.8,overcast clouds
Puerto+Carreno,CO,6.189,-67.4859,86.68,63,100,5.35,overcast clouds
Maumere,ID,-8.6199,122.2111,77.54,78,8,3.62,clear sky
Pangnirtung,CA,66.1451,-65.7125,32.0,80,90,13.8,overcast clouds
Castro,BR,-24.7911,-50.0119,70.97,65,99,12.1,overcast clouds
Lloydminster,CA,53.2835,-110.0016,58.68,51,75,26.46,broken clouds
Partenit,UA,44.578,34.3446,68.22,83,60,1.52,broken clouds
Ust-Nera,RU,64.5667,143.2,43.52,72,94,5.57,light rain
Seoul,KR,37.5683,126.9778,61.99,75,0,9.28,clear sky
Polunochnoye,RU,60.8697,60.4153,51.13,58,68,2.33,broken clouds
Ngunguru,NZ,-35.6167,174.5,56.16,85,72,24.27,light rain
Malanje,AO,-9.5402,16.341,68.02,48,29,3.44,scattered clouds
Pabna,BD,24.0,89.25,82.92,80,40,5.5,scattered clouds
Montecristi,EC,-1.05,-80.6667,76.82,73,75,7.16,broken clouds
Huarmey,PE,-10.0681,-78.1522,71.62,78,64,10.2,broken clouds
Pemangkat,ID,1.1667,108.9667,78.46,88,100,4.41,overcast clouds
Vostok,RU,46.4856,135.8833,40.96,95,100,3.36,overcast clouds
Aksu,CN,41.1231,80.2644,81.55,14,32,4.79,scattered clouds
Udachnyy,RU,66.4167,112.4,50.9,61,99,14.41,overcast clouds
Vung+Tau,VN,10.346,107.0843,83.32,77,42,8.77,scattered clouds
Smidovich,RU,48.6,133.8167,51.06,83,66,4.56,broken clouds
Alofi,NU,-19.0595,-169.9187,73.29,94,100,2.3,overcast clouds
Bairiki,KI,1.3292,172.9752,80.6,89,75,12.48,light rain
Opuwo,NA,-18.0607,13.84,69.94,24,0,8.72,clear sky
Port+Hedland,AU,-20.3167,118.5667,73.45,53,88,6.91,overcast clouds
Benguela,AO,-12.5763,13.4055,77.94,64,4,4.38,clear sky
Akita,JP,39.7167,140.1167,61.95,74,100,21.14,overcast clouds
Mount+Isa,AU,-20.7333,139.5,64.17,20,28,11.5,scattered clouds
Aushiger,RU,43.3961,43.7317,70.18,56,79,3.83,broken clouds
Alice,US,27.7523,-98.0697,87.55,72,90,6.91,overcast clouds
